across_our_country_also_|across our country also|across our country also
across_our_country_it's_|across our country it's|across our country it's
across_the_country_began_|across the country began|across the country began
across_the_country_like_|across the country like|across the country like
across_the_country_we've_|across the country we've|across the country we've
across_the_country_whose_|across the country whose|across the country whose
actions_will_be_meaningful_|actions will be meaningful|actions will be meaningful
action_in_modern_history_|action in modern history|action in modern history
action_in_their_first_|action in their first|action in their first
action_the_full_power_|action the full power|action the full power
action_to_ensure_the_|action to ensure the|action to ensure the
action_to_lower_health_|action to lower health|action to lower health
action_to_suspend_travel_|action to suspend travel|action to suspend travel
action_yesterday_hospitals_now_|action yesterday hospitals now|action yesterday hospitals now
activated_all_across_our_|activated all across our|activated all across our
active_clinical_trials_we'll_|active clinical trials we'll|active clinical trials we'll
activity_at_the_appropriate_|activity at the appropriate|activity at the appropriate
actors_and_profit_ears_|actors and profit ears|actors and profit ears
acts_of_compassion_benevolence_|acts of compassion benevolence|acts of compassion benevolence
actually_bigger_and_better_|actually bigger and better|actually bigger and better
actually_different_it's_very_|actually different it's very|actually different it's very
actually_getting_some_mental_|actually getting some mental|actually getting some mental
actually_going_up_as_|actually going up as|actually going up as
actually_incredible_you_don't_|actually incredible you don't|actually incredible you don't
actually_in_good_shape_|actually in good shape|actually in good shape
actually_nationwide_the_army_|actually nationwide the army|actually nationwide the army
actually_open_up_before_|actually open up before|actually open up before
actually_pretty_much_by_|actually pretty much by|actually pretty much by
actually_quite_complex_but_|actually quite complex but|actually quite complex but
actually_there_are_over_|actually there are over|actually there are over
actual_usage_numbers_directly_|actual usage numbers directly|actual usage numbers directly
act_and_the_defense_|act and the defense|act and the defense
act_last_week_i_|act last week i|act last week i
act_to_ensure_that_|act to ensure that|act to ensure that
act_to_increase_their_|act to increase their|act to increase their
act_to_prohibit_export_|act to prohibit export|act to prohibit export
act_which_we've_used_|act which we've used|act which we've used
adam_bowler_to_come_|adam bowler to come|adam bowler to come
additional_2200_newly_manufactured_|additional 2200 newly manufactured|additional 2200 newly manufactured
additional_250_billion_to_|additional 250 billion to|additional 250 billion to
additional_capacity_reflected_in_|additional capacity reflected in|additional capacity reflected in
additional_flights_have_been_|additional flights have been|additional flights have been
additional_funding_for_the_|additional funding for the|additional funding for the
additional_navy_destroyers_combat_|additional navy destroyers combat|additional navy destroyers combat
additional_safety_measures_to_|additional safety measures to|additional safety measures to
additional_sites_are_helping_|additional sites are helping|additional sites are helping
additional_swabs_per_month_|additional swabs per month|additional swabs per month
additional_temporary_hospital_sites_|additional temporary hospital sites|additional temporary hospital sites
additional_ventilators_to_new_|additional ventilators to new|additional ventilators to new
addition_the_naval_hospital_|addition the naval hospital|addition the naval hospital
addition_to_all_of_|addition to all of|addition to all of
addition_to_ensure_that_|addition to ensure that|addition to ensure that
addition_to_honeywell_action_|addition to honeywell action|addition to honeywell action
addition_to_that_gilead_|addition to that gilead|addition to that gilead
addition_to_the_55_|addition to the 55|addition to the 55
addition_to_the_eight_|addition to the eight|addition to the eight
addition_to_vast_amounts_|addition to vast amounts|addition to vast amounts
addition_we've_launched_an_|addition we've launched an|addition we've launched an
address_any_outbreaks_and_|address any outbreaks and|address any outbreaks and
add_a_lot_of_|add a lot of|add a lot of
add_them_all_up_|add them all up|add them all up
add_the_word_a_|add the word a|add the word a
add_to_it_hydroxy_|add to it hydroxy|add to it hydroxy
administration's_efforts_to_get_|administration's efforts to get|administration's efforts to get
administrations_few_people_few_|administrations few people few|administrations few people few
administration_acted_decisively_we_|administration acted decisively we|administration acted decisively we
administration_and_cooperation_with_|administration and cooperation with|administration and cooperation with
administration_continues_to_work_|administration continues to work|administration continues to work
administration_has_already_distributed_|administration has already distributed|administration has already distributed
administration_is_partnered_with_|administration is partnered with|administration is partnered with
administration_is_using_every_|administration is using every|administration is using every
administration_launched_the_program_|administration launched the program|administration launched the program
administration_located_5_000_|administration located 5 000|administration located 5 000
administration_marshaled_every_resource_|administration marshaled every resource|administration marshaled every resource
administration_the_va_has_|administration the va has|administration the va has
administration_to_halt_funding_|administration to halt funding|administration to halt funding
administration_we're_fighting_for_|administration we're fighting for|administration we're fighting for
administration_we_have_one_|administration we have one|administration we have one
administration_will_never_waver_|administration will never waver|administration will never waver
administrative_verma_and_i_|administrative verma and i|administrative verma and i
admit_it_but_they_|admit it but they|admit it but they
admit_it_they'll_admit_|admit it they'll admit|admit it they'll admit
advanced_therapeutics_and_therapeutically_|advanced therapeutics and therapeutically|advanced therapeutics and therapeutically
advanced_the_list_i_|advanced the list i|advanced the list i
advancing_each_phase_and_|advancing each phase and|advancing each phase and
advantage_plans_today_that_|advantage plans today that|advantage plans today that
advised_all_nursing_homes_|advised all nursing homes|advised all nursing homes
advisory_for_hong_kong_|advisory for hong kong|advisory for hong kong
affected_by_the_medical_|affected by the medical|affected by the medical
affected_so_much_by_|affected so much by|affected so much by
affection_there's_no_earthly_|affection there's no earthly|affection there's no earthly
affect_the_full_range_|affect the full range|affect the full range
afforded_the_territory_since_|afforded the territory since|afforded the territory since
afford_during_this_crisis_|afford during this crisis|afford during this crisis
afford_that's_what_happened_|afford that's what happened|afford that's what happened
afghanistan_that_can_help_|afghanistan that can help|afghanistan that can help
afternoon_i'll_sign_a_|afternoon i'll sign a|afternoon i'll sign a
afternoon_i_am_announcing_|afternoon i am announcing|afternoon i am announcing
afternoon_we're_going_to_|afternoon we're going to|afternoon we're going to
after_all_these_years_|after all these years|after all these years
after_day_we're_making_|after day we're making|after day we're making
after_neighbors_it's_incredible_|after neighbors it's incredible|after neighbors it's incredible
after_that_i'm_going_|after that i'm going|after that i'm going
after_they_ended_it_|after they ended it|after they ended it
after_they_had_been_|after they had been|after they had been
after_the_enemy_is_|after the enemy is|after the enemy is
after_the_first_day_|after the first day|after the first day
after_this_is_gone_|after this is gone|after this is gone
after_we've_gotten_this_|after we've gotten this|after we've gotten this
after_we_have_won_|after we have won|after we have won
after_witch_hunt_and_|after witch hunt and|after witch hunt and
against_a_virus_possible_|against a virus possible|against a virus possible
against_china_and_then_|against china and then|against china and then
against_me_doing_the_|against me doing the|against me doing the
against_the_invisible_enemy_|against the invisible enemy|against the invisible enemy
against_the_unseen_enemy_|against the unseen enemy|against the unseen enemy
against_the_virus_as_|against the virus as|against the virus as
against_the_virus_i_|against the virus i|against the virus i
against_this_terrible_scourge_|against this terrible scourge|against this terrible scourge
again_1917_1918_that's_|again 1917 1918 that's|again 1917 1918 that's
again_and_soon_be_|again and soon be|again and soon be
again_and_that_is_|again and that is|again and that is
again_but_i_don't_|again but i don't|again but i don't
again_but_we're_also_|again but we're also|again but we're also
again_it's_being_tested_|again it's being tested|again it's being tested
again_i_have_to_|again i have to|again i have to
again_i_just_spoke_|again i just spoke|again i just spoke
again_i_say_that_|again i say that|again i say that
again_thank_you_very_|again thank you very|again thank you very
again_this_morning_these_|again this morning these|again this morning these
again_to_be_very_|again to be very|again to be very
again_very_shortly_we_|again very shortly we|again very shortly we
again_we'll_have_some_|again we'll have some|again we'll have some
again_we're_doing_record_|again we're doing record|again we're doing record
again_we_mourn_the_|again we mourn the|again we mourn the
agendas_we_want_to_|agendas we want to|agendas we want to
aggressively_investigating_a_number_|aggressively investigating a number|aggressively investigating a number
aggressively_prosecuting_fraudulent_schemes_|aggressively prosecuting fraudulent schemes|aggressively prosecuting fraudulent schemes
aggressive_actions_and_the_|aggressive actions and the|aggressive actions and the
aggressive_strategy_is_working_|aggressive strategy is working|aggressive strategy is working
aggressive_strategy_to_battle_|aggressive strategy to battle|aggressive strategy to battle
aggressive_taken_by_any_|aggressive taken by any|aggressive taken by any
ago_about_the_world_|ago about the world|ago about the world
ago_and_i_explained_|ago and i explained|ago and i explained
ago_and_now_everybody_|ago and now everybody|ago and now everybody
ago_and_they're_having_|ago and they're having|ago and they're having
ago_and_you_worked_|ago and you worked|ago and you worked
ago_but_we_will_|ago but we will|ago but we will
ago_is_at_30_|ago is at 30|ago is at 30
ago_many_years_ago_|ago many years ago|ago many years ago
ago_on_a_rainy_|ago on a rainy|ago on a rainy
ago_that_they_are_|ago that they are|ago that they are
ago_they_had_that_|ago they had that|ago they had that
ago_thousands_of_hospital_|ago thousands of hospital|ago thousands of hospital
ago_we_moved_at_|ago we moved at|ago we moved at
ago_with_that_i'd_|ago with that i'd|ago with that i'd
ago_with_vice_president_|ago with vice president|ago with vice president
agreed_to_that_we_|agreed to that we|agreed to that we
agreement_very_soon_and_|agreement very soon and|agreement very soon and
agree_that_moving_quickly_|agree that moving quickly|agree that moving quickly
agricultural_secretary_sonny_perdue_|agricultural secretary sonny perdue|agricultural secretary sonny perdue
ahead_of_schedule_and_|ahead of schedule and|ahead of schedule and
ahead_of_schedule_a_|ahead of schedule a|ahead of schedule a
ahead_of_schedule_the_-2|ahead of schedule the|ahead of schedule the
ahead_of_schedule_the_-3|ahead of schedule the|ahead of schedule the
ahead_of_schedule_the_|ahead of schedule the|ahead of schedule the
ahead_we'll_forge_an_|ahead we'll forge an|ahead we'll forge an
ahead_we're_gonna_go_|ahead we're gonna go|ahead we're gonna go
aid_and_very_badly_|aid and very badly|aid and very badly
aid_to_the_hardest_|aid to the hardest|aid to the hardest
airlines_good_for_a_|airlines good for a|airlines good for a
airlines_or_all_of_|airlines or all of|airlines or all of
airplanes_massive_cargo_planes_|airplanes massive cargo planes|airplanes massive cargo planes
airplanes_not_just_drones_|airplanes not just drones|airplanes not just drones
air_bridge_continues_to_|air bridge continues to|air bridge continues to
air_force_surveillance_aircraft_|air force surveillance aircraft|air force surveillance aircraft
air_medical_overcome_obstacles_|air medical overcome obstacles|air medical overcome obstacles
alcohol_abuse_suicide_heart_|alcohol abuse suicide heart|alcohol abuse suicide heart
alleviate_any_concern_uninsured_|alleviate any concern uninsured|alleviate any concern uninsured
allowed_to_use_federal_|allowed to use federal|allowed to use federal
allowing_military_and_other_|allowing military and other|allowing military and other
all_15400_medicaid_and_|all 15400 medicaid and|all 15400 medicaid and
all_50_states_about_|all 50 states about|all 50 states about
all_about_that_as_|all about that as|all about that as
all_about_they're_fighters_|all about they're fighters|all about they're fighters
all_americans_were_rightly_|all americans were rightly|all americans were rightly
all_americans_we_are_|all americans we are|all americans we are
all_approving_all_very_|all approving all very|all approving all very
all_around_the_world_|all around the world|all around the world
all_at_the_beginning_|all at the beginning|all at the beginning
all_available_federal_resources_|all available federal resources|all available federal resources
all_backgrounds_and_beliefs_|all backgrounds and beliefs|all backgrounds and beliefs
all_been_approved_we've_|all been approved we've|all been approved we've
all_been_reading_about_|all been reading about|all been reading about
all_be_tired_but_|all be tired but|all be tired but
all_bothered_you_look_|all bothered you look|all bothered you look
all_cases_we_have_|all cases we have|all cases we have
all_comes_from_you_|all comes from you|all comes from you
all_did_can_never_|all did can never|all did can never
all_documented_and_it_|all documented and it|all documented and it
all_done_is_sending_|all done is sending|all done is sending
all_excited_i_do_|all excited i do|all excited i do
all_foreclosures_and_evictions_|all foreclosures and evictions|all foreclosures and evictions
all_for_being_here_|all for being here|all for being here
all_for_that_but_|all for that but|all for that but
all_for_the_work_|all for the work|all for the work
all_fronts_including_medical_|all fronts including medical|all fronts including medical
all_heard_about_some_|all heard about some|all heard about some
all_interested_in_the_|all interested in the|all interested in the
all_i_want_to_|all i want to|all i want to
all_know_it_some_|all know it some|all know it some
all_kovat_so_that'll_|all kovat so that'll|all kovat so that'll
all_locations_where_they_|all locations where they|all locations where they
all_medically_unnecessary_personnel_|all medically unnecessary personnel|all medically unnecessary personnel
all_my_life_my_|all my life my|all my life my
all_of_a_sudden_|all of a sudden|all of a sudden
all_of_boris's_doctors_|all of boris's doctors|all of boris's doctors
all_of_our_military_|all of our military|all of our military
all_of_that_it_|all of that it|all of that it
all_of_that_money_|all of that money|all of that money
all_of_their_money_|all of their money|all of their money
all_of_them_in_|all of them in|all of them in
all_of_the_aid_|all of the aid|all of the aid
all_of_the_border_|all of the border|all of the border
all_of_the_different_|all of the different|all of the different
all_of_the_governor's_|all of the governor's|all of the governor's
all_of_the_great_|all of the great|all of the great
all_of_the_people_-2|all of the people|all of the people
all_of_the_people_|all of the people|all of the people
all_of_the_representatives_|all of the representatives|all of the representatives
all_of_the_supplies_|all of the supplies|all of the supplies
all_of_the_talk_|all of the talk|all of the talk
all_of_the_things_-2|all of the things|all of the things
all_of_the_things_|all of the things|all of the things
all_of_us_it's_|all of us it's|all of us it's
all_of_us_very_|all of us very|all of us very
all_of_you_that_|all of you that|all of you that
all_on_from_what_|all on from what|all on from what
all_out_and_we_|all out and we|all out and we
all_over_the_country_|all over the country|all over the country
all_over_the_world_-2|all over the world|all over the world
all_over_the_world_-3|all over the world|all over the world
all_over_the_world_|all over the world|all over the world
all_really_happy_because_|all really happy because|all really happy because
all_right_because_a_|all right because a|all right because a
all_sorts_of_incredible_|all sorts of incredible|all sorts of incredible
all_staff_be_tested_|all staff be tested|all staff be tested
all_these_things_not_|all these things not|all these things not
all_they'll_all_be_|all they'll all be|all they'll all be
all_they_have_to_|all they have to|all they have to
all_they_know_is_|all they know is|all they know is
all_the_different_locations_|all the different locations|all the different locations
all_the_small_businesses_|all the small businesses|all the small businesses
all_the_time_and_|all the time and|all the time and
all_the_time_pritzker_|all the time pritzker|all the time pritzker
all_this_is_something_|all this is something|all this is something
all_three_of_the_|all three of the|all three of the
all_throughout_america_mike's_|all throughout america mike's|all throughout america mike's
all_ventilators_and_the_|all ventilators and the|all ventilators and the
all_want_to_do_|all want to do|all want to do
all_what_is_it_|all what is it|all what is it
all_where_you'll_have_|all where you'll have|all where you'll have
all_within_a_very_|all within a very|all within a very
all_worked_together_and_|all worked together and|all worked together and
all_working_so_hard_|all working so hard|all working so hard
all_working_together_get_|all working together get|all working together get
all_working_very_hard_|all working very hard|all working very hard
almost_10_000_in_|almost 10 000 in|almost 10 000 in
almost_15_million_people_|almost 15 million people|almost 15 million people
almost_160_million_the_|almost 160 million the|almost 160 million the
almost_all_of_the_|almost all of the|almost all of the
almost_a_hundred_million_|almost a hundred million|almost a hundred million
almost_is_inflicted_with_|almost is inflicted with|almost is inflicted with
almost_record_low_numbers_|almost record low numbers|almost record low numbers
alone_with_thousands_more_|alone with thousands more|alone with thousands more
along_with_other_recent_|along with other recent|along with other recent
already_because_a_lot_|already because a lot|already because a lot
already_delivered_we've_delivered_|already delivered we've delivered|already delivered we've delivered
already_is_i_don't_|already is i don't|already is i don't
already_it's_going_to_|already it's going to|already it's going to
already_made_loans_under_|already made loans under|already made loans under
already_recovered_from_the_|already recovered from the|already recovered from the
already_sick_and_we're_|already sick and we're|already sick and we're
already_started_working_on_|already started working on|already started working on
already_there_they_have_|already there they have|already there they have
already_underway_for_many_|already underway for many|already underway for many
also_and_we're_taking_|also and we're taking|also and we're taking
also_and_we_came_|also and we came|also and we came
also_announcing_that_the_|also announcing that the|also announcing that the
also_are_going_to_|also are going to|also are going to
also_as_you_know_|also as you know|also as you know
also_been_a_leader_|also been a leader|also been a leader
also_been_saved_it's_|also been saved it's|also been saved it's
also_being_studied_in_|also being studied in|also being studied in
also_be_able_to_|also be able to|also be able to
also_be_deploying_millions_|also be deploying millions|also be deploying millions
also_be_leading_a_|also be leading a|also be leading a
also_but_having_pharmacies_|also but having pharmacies|also but having pharmacies
also_conducted_major_military_|also conducted major military|also conducted major military
also_distributed_the_first_|also distributed the first|also distributed the first
also_done_in_as_|also done in as|also done in as
also_do_everything_in_|also do everything in|also do everything in
also_expanded_emergency_use_|also expanded emergency use|also expanded emergency use
also_funding_over_35_|also funding over 35|also funding over 35
also_has_been_approved_|also has been approved|also has been approved
also_invested_one_point_|also invested one point|also invested one point
also_in_the_something_|also in the something|also in the something
also_know_the_potential_|also know the potential|also know the potential
also_making_equipment_for_|also making equipment for|also making equipment for
also_numbers_a_little_|also numbers a little|also numbers a little
also_on_vaccines_a_|also on vaccines a|also on vaccines a
also_patti_sir_of_|also patti sir of|also patti sir of
also_people_leaving_and_|also people leaving and|also people leaving and
also_pleased_to_report_|also pleased to report|also pleased to report
also_provide_approximately_nine_|also provide approximately nine|also provide approximately nine
also_pursuing_antiviral_therapies_|also pursuing antiviral therapies|also pursuing antiviral therapies
also_put_the_world_|also put the world|also put the world
also_received_donations_of_|also received donations of|also received donations of
also_report_that_at_|also report that at|also report that at
also_requires_nursing_homes_|also requires nursing homes|also requires nursing homes
also_said_a_lot_|also said a lot|also said a lot
also_see_where_you_|also see where you|also see where you
also_sent_an_additional_|also sent an additional|also sent an additional
also_signing_a_directive_|also signing a directive|also signing a directive
also_so_some_of_|also so some of|also so some of
also_so_you_have_|also so you have|also so you have
also_speeding_economic_relief_|also speeding economic relief|also speeding economic relief
also_stand_in_solidarity_|also stand in solidarity|also stand in solidarity
also_thank_and_congratulate_|also thank and congratulate|also thank and congratulate
also_the_economy_is_|also the economy is|also the economy is
also_to_washington_dc_|also to washington dc|also to washington dc
also_want_to_thank_-2|also want to thank|also want to thank
also_want_to_thank_-3|also want to thank|also want to thank
also_want_to_thank_-4|also want to thank|also want to thank
also_want_to_thank_|also want to thank|also want to thank
also_we're_sending_them_|also we're sending them|also we're sending them
also_we_will_be_|also we will be|also we will be
also_working_with_ford_|also working with ford|also working with ford
also_working_with_other_|also working with other|also working with other
alternate_care_facilities_so_|alternate care facilities so|alternate care facilities so
alternative_testing_technology_that_|alternative testing technology that|alternative testing technology that
aluminum_but_with_those_|aluminum but with those|aluminum but with those
always_be_protected_on_|always be protected on|always be protected on
always_do_we_have_|always do we have|always do we have
always_fight_to_protect_|always fight to protect|always fight to protect
always_protect_medicare_and_|always protect medicare and|always protect medicare and
always_said_i_want_|always said i want|always said i want
always_wanted_to_say_|always wanted to say|always wanted to say
amazingly_600_will_be_|amazingly 600 will be|amazingly 600 will be
amazing_450_000_loans_|amazing 450 000 loans|amazing 450 000 loans
amazing_it_says_you_|amazing it says you|amazing it says you
amazing_so_please_if_|amazing so please if|amazing so please if
ambassador_o'brien_since_january_|ambassador o'brien since january|ambassador o'brien since january
america's_generosity_has_been_|america's generosity has been|america's generosity has been
america's_states_territories_and_|america's states territories and|america's states territories and
america's_whole_and_economic_|america's whole and economic|america's whole and economic
americans_as_quickly_as_|americans as quickly as|americans as quickly as
americans_from_being_exploited_|americans from being exploited|americans from being exploited
americans_from_more_than_|americans from more than|americans from more than
americans_have_joined_together_|americans have joined together|americans have joined together
americans_have_now_been_|americans have now been|americans have now been
americans_laid_off_by_|americans laid off by|americans laid off by
americans_may_have_about_|americans may have about|americans may have about
americans_of_every_age_|americans of every age|americans of every age
americans_pray_for_the_|americans pray for the|americans pray for the
americans_stuck_abroad_on_|americans stuck abroad on|americans stuck abroad on
americans_that_were_all_|americans that were all|americans that were all
americans_to_maintain_social_|americans to maintain social|americans to maintain social
americans_who_are_grieving_|americans who are grieving|americans who are grieving
americans_who_are_ill_|americans who are ill|americans who are ill
americans_who_remain_the_|americans who remain the|americans who remain the
americans_will_keep_on_|americans will keep on|americans will keep on
americans_will_now_be_|americans will now be|americans will now be
american_and_hispanic_american_|american and hispanic american|american and hispanic american
american_citizens_and_that_|american citizens and that|american citizens and that
american_citizen_earning_less_|american citizen earning less|american citizen earning less
american_companies_both_small_|american companies both small|american companies both small
american_companies_that_are_|american companies that are|american companies that are
american_determination_ingenuity_and_|american determination ingenuity and|american determination ingenuity and
american_enterprise_and_our_|american enterprise and our|american enterprise and our
american_history_mike_pompeo_|american history mike pompeo|american history mike pompeo
american_hospital_association_sam_|american hospital association sam|american hospital association sam
american_is_alone_and_|american is alone and|american is alone and
american_lives_and_rescue_|american lives and rescue|american lives and rescue
american_lives_not_waste_|american lives not waste|american lives not waste
american_patriot_we_will_|american patriot we will|american patriot we will
american_people_for_the_|american people for the|american people for the
american_people_for_what_|american people for what|american people for what
american_people_from_the_|american people from the|american people from the
american_people_we_are_|american people we are|american people we are
american_people_we_will_|american people we will|american people we will
american_petroleum_institute_kelsey_|american petroleum institute kelsey|american petroleum institute kelsey
american_spirit_is_unyielding_|american spirit is unyielding|american spirit is unyielding
american_taxpayers_provide_between_|american taxpayers provide between|american taxpayers provide between
american_virtue_character_and_|american virtue character and|american virtue character and
american_way_in_action_|american way in action|american way in action
american_workers_and_employers_|american workers and employers|american workers and employers
american_workers_and_we're_|american workers and we're|american workers and we're
american_workers_families_and_-2|american workers families and|american workers families and
american_workers_families_and_|american workers families and|american workers families and
american_workers_into_law_|american workers into law|american workers into law
american_worker_and_families_|american worker and families|american worker and families
american_worker_she's_created_|american worker she's created|american worker she's created
american_worker_take_care_|american worker take care|american worker take care
america_and_the_world_|america and the world|america and the world
america_has_really_stepped_|america has really stepped|america has really stepped
america_is_very_grateful_|america is very grateful|america is very grateful
america_i_am_mobilizing_|america i am mobilizing|america i am mobilizing
america_like_we_have_|america like we have|america like we have
america_needs_creation_not_|america needs creation not|america needs creation not
america_no_person_who_|america no person who|america no person who
america_terry_o'sullivan_international_|america terry o'sullivan international|america terry o'sullivan international
america_united_america_an_|america united america an|america united america an
america_very_important_and_|america very important and|america very important and
america_was_right_up_|america was right up|america was right up
america_we_also_acted_|america we also acted|america we also acted
among_the_leaders_i_|among the leaders i|among the leaders i
amounts_of_hydroxychloroquine_very_|amounts of hydroxychloroquine very|amounts of hydroxychloroquine very
amounts_of_medical_supplies_|amounts of medical supplies|amounts of medical supplies
amounts_of_product_there's_|amounts of product there's|amounts of product there's
amounts_of_protective_gear_|amounts of protective gear|amounts of protective gear
amounts_of_smaller_businesses_|amounts of smaller businesses|amounts of smaller businesses
amounts_of_time_more_|amounts of time more|amounts of time more
amount_of_is_the_|amount of is the|amount of is the
amount_of_need_is_|amount of need is|amount of need is
amount_of_usage_the_|amount of usage the|amount of usage the
amount_of_work_that_|amount of work that|amount of work that
amount_that_it_was_|amount that it was|amount that it was
amp_johnson_merck_pfizer_|amp johnson merck pfizer|amp johnson merck pfizer
am_also_taking_action_|am also taking action|am also taking action
am_also_taking_swift_|am also taking swift|am also taking swift
am_but_i_feel_|am but i feel|am but i feel
am_directing_my_administration_|am directing my administration|am directing my administration
am_instructing_my_presidential_|am instructing my presidential|am instructing my presidential
am_sorry_i_saw_|am sorry i saw|am sorry i saw
andrew_this_morning_it's_|andrew this morning it's|andrew this morning it's
and_1_7_million_|and 1 7 million|and 1 7 million
and_22_million_gloves_|and 22 million gloves|and 22 million gloves
and_25_billion_dollars_|and 25 billion dollars|and 25 billion dollars
and_26_more_are_|and 26 more are|and 26 more are
and_49_additional_flights_|and 49 additional flights|and 49 additional flights
and_50_to_connecticut_|and 50 to connecticut|and 50 to connecticut
and_50_years_the_|and 50 years the|and 50 years the
and_able_some_of_|and able some of|and able some of
and_actions_to_save_|and actions to save|and actions to save
and_active_trials_with_|and active trials with|and active trials with
and_actually_the_day_|and actually the day|and actually the day
and_admiral_pull_of_|and admiral pull of|and admiral pull of
and_advocates_from_around_|and advocates from around|and advocates from around
and_again_the_states_|and again the states|and again the states
and_again_you_have_|and again you have|and again you have
and_aggressively_to_shut_|and aggressively to shut|and aggressively to shut
and_aggressive_action_the_|and aggressive action the|and aggressive action the
and_allow_americans_to_|and allow americans to|and allow americans to
and_all_around_the_|and all around the|and all around the
and_all_available_authority_|and all available authority|and all available authority
and_all_governor's_are_|and all governor's are|and all governor's are
and_all_of_the_-2|and all of the|and all of the
and_all_of_the_-3|and all of the|and all of the
and_all_of_the_|and all of the|and all of the
and_also_in_dallas_|and also in dallas|and also in dallas
and_also_other_viruses_|and also other viruses|and also other viruses
and_always_health_always_|and always health always|and always health always
and_americans_are_all_|and americans are all|and americans are all
and_americans_want_to_|and americans want to|and americans want to
